profile,depth,time,latitude,longitude,chlorophyll
,m,UTC,degrees_north,degrees_east,mg m-3
55831,30.0,2023-07-01T16:17:48Z,34.1916275,-120.192595,0.2348181818181818
55832,30.0,2023-07-01T19:18:44Z,34.1848825,-120.15658,0.21845454545454548
55833,30.0,2023-07-01T22:24:42Z,34.1999775,-120.1295025,0.2210769230769231
55834,30.0,2023-07-02T01:28:53Z,34.2270125,-120.1192575,0.28075000000000006
55835,30.0,2023-07-02T04:28:53Z,34.254795,-120.11623750000001,0.23972727272727273
55836,30.0,2023-07-02T07:28:44Z,34.278785,-120.1080575,0.21245454545454548
55837,30.0,2023-07-02T10:28:27Z,34.29374,-120.09042249999999,0.25325000000000003
55838,30.0,2023-07-02T13:32:36Z,34.296890000000005,-120.0723725,0.237
55839,30.0,2023-07-02T16:35:57Z,34.295100000000005,-120.0585775,0.233
55840,30.0,2023-07-02T19:36:42Z,34.29085,-120.0433575,0.25249999999999995
55841,30.0,2023-07-02T22:38:04Z,34.28554,-120.02241000000001,0.2785
55842,30.0,2023-07-03T01:40:52Z,34.2823925,-119.99865249999999,0.334
55843,30.0,2023-07-03T04:41:44Z,34.279325,-119.9778775,0.9897499999999999
55844,30.0,2023-07-03T07:42:49Z,34.274625,-119.95594750000001,0.8254615384615384
55845,30.0,2023-07-03T10:43:04Z,34.2684525,-119.9251275,1.6246363636363639
55846,30.0,2023-07-03T13:47:06Z,34.2785275,-119.92771499999999,0.7034999999999999
55847,30.0,2023-07-03T16:48:10Z,34.270105,-119.9238125,0.5855
55848,30.0,2023-07-03T19:50:16Z,34.284912500000004,-119.91667000000001,0.7703076923076922
55849,30.0,2023-07-03T22:49:42Z,34.2764,-119.912925,1.0482500000000001
55850,30.0,2023-07-04T01:48:44Z,34.26526,-119.928685,0.9725454545454546
55851,30.0,2023-07-04T04:51:06Z,34.2741575,-119.9206625,1.4863846153846154
55852,30.0,2023-07-04T07:57:26Z,34.2596275,-119.92432,1.5522500000000001
55853,30.0,2023-07-04T11:01:28Z,34.2679825,-119.9175175,1.3144285714285715
55854,30.0,2023-07-04T14:02:22Z,34.265139999999995,-119.9271425,0.7071818181818181
55855,30.0,2023-07-04T17:03:18Z,34.2769425,-119.92040750000001,0.9480000000000001
55856,30.0,2023-07-04T20:02:28Z,34.267685,-119.9229125,0.7730000000000001
55857,30.0,2023-07-04T23:03:20Z,34.2757925,-119.9129225,1.1835000000000002
55858,30.0,2023-07-05T02:05:32Z,34.265452499999995,-119.9212875,0.9322500000000001
